InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,Ratio
100000,0.05,11,0.97,5002,2712,2668,0.542,0.533,1
100000,0.05,10,0.97,5002,3055,2989,0.611,0.597,1
100000,0.05,9,0.97,5002,3392,3317,0.678,0.663,1
100000,0.05,8,0.97,5002,3694,3607,0.739,0.721,1
100000,0.05,7,0.97,5002,3979,3873,0.795,0.774,1
100000,0.05,6,0.97,5002,4282,4145,0.856,0.829,1
100000,0.05,5,0.97,5002,4493,4351,0.898,0.87,1
100000,0.05,4,0.97,5002,4485,4353,0.897,0.87,1
100000,0.05,3,0.97,5002,4373,4321,0.874,0.864,1
100000,0.05,2,0.97,5002,3693,3674,0.738,0.734,1
100000,0.05,1,0.97,5002,0,0,0,0,1
100000,0.05,11,0.97,4893,2595,2551,0.53,0.521,0.975
100000,0.05,10,0.97,4893,2928,2876,0.598,0.588,0.975
100000,0.05,9,0.97,4893,3244,3178,0.663,0.649,0.975
100000,0.05,8,0.97,4893,3557,3479,0.727,0.711,0.975
100000,0.05,7,0.97,4893,3838,3731,0.784,0.762,0.975
100000,0.05,6,0.97,4893,4120,3994,0.842,0.816,0.975
100000,0.05,5,0.97,4893,4319,4171,0.883,0.852,0.975
100000,0.05,4,0.97,4893,4312,4170,0.881,0.852,0.975
100000,0.05,3,0.97,4893,4247,4167,0.868,0.851,0.975
100000,0.05,2,0.97,4893,3573,3530,0.73,0.721,0.975
100000,0.05,1,0.97,4893,0,0,0,0,0.975
100000,0.05,11,0.97,4945,2508,2457,0.507,0.497,0.95
100000,0.05,10,0.97,4945,2823,2761,0.571,0.558,0.95
100000,0.05,9,0.97,4945,3153,3081,0.638,0.623,0.95
100000,0.05,8,0.97,4945,3486,3400,0.705,0.687,0.95
100000,0.05,7,0.97,4945,3769,3661,0.762,0.74,0.95
100000,0.05,6,0.97,4945,4036,3916,0.816,0.792,0.95
100000,0.05,5,0.97,4945,4249,4109,0.859,0.831,0.95
100000,0.05,4,0.97,4945,4271,4116,0.864,0.832,0.95
100000,0.05,3,0.97,4945,4195,4075,0.848,0.824,0.95
100000,0.05,2,0.97,4945,3560,3481,0.72,0.704,0.95
100000,0.05,1,0.97,4945,0,0,0,0,0.95
100000,0.05,11,0.97,5005,2407,2374,0.481,0.474,0.925
100000,0.05,10,0.97,5005,2698,2646,0.539,0.529,0.925
100000,0.05,9,0.97,5005,2988,2926,0.597,0.584,0.925
100000,0.05,8,0.97,5005,3283,3214,0.656,0.642,0.925
100000,0.05,7,0.97,5005,3577,3475,0.715,0.694,0.925
100000,0.05,6,0.97,5005,3848,3725,0.769,0.744,0.925
100000,0.05,5,0.97,5005,4041,3891,0.807,0.777,0.925
100000,0.05,4,0.97,5005,4112,3957,0.822,0.79,0.925
100000,0.05,3,0.97,5005,4070,3929,0.813,0.785,0.925
100000,0.05,2,0.97,5005,3511,3402,0.701,0.68,0.925
100000,0.05,1,0.97,5005,0,0,0,0,0.925
100000,0.05,11,0.97,5028,2352,2314,0.468,0.46,0.9
100000,0.05,10,0.97,5028,2625,2582,0.522,0.513,0.9
100000,0.05,9,0.97,5028,2932,2881,0.583,0.573,0.9
100000,0.05,8,0.97,5028,3220,3154,0.64,0.627,0.9
100000,0.05,7,0.97,5028,3498,3424,0.696,0.681,0.9
100000,0.05,6,0.97,5028,3740,3654,0.744,0.727,0.9
100000,0.05,5,0.97,5028,3976,3857,0.791,0.767,0.9
100000,0.05,4,0.97,5028,4047,3894,0.805,0.774,0.9
100000,0.05,3,0.97,5028,4010,3850,0.798,0.766,0.9
100000,0.05,2,0.97,5028,3432,3289,0.683,0.654,0.9
100000,0.05,1,0.97,5028,0,0,0,0,0.9
100000,0.05,11,0.97,5042,2321,2286,0.46,0.453,0.875
100000,0.05,10,0.97,5042,2569,2525,0.51,0.501,0.875
100000,0.05,9,0.97,5042,2842,2800,0.564,0.555,0.875
100000,0.05,8,0.97,5042,3157,3098,0.626,0.614,0.875
100000,0.05,7,0.97,5042,3458,3382,0.686,0.671,0.875
100000,0.05,6,0.97,5042,3707,3607,0.735,0.715,0.875
100000,0.05,5,0.97,5042,3895,3773,0.773,0.748,0.875
100000,0.05,4,0.97,5042,3956,3821,0.785,0.758,0.875
100000,0.05,3,0.97,5042,3948,3764,0.783,0.746,0.875
100000,0.05,2,0.97,5042,3398,3238,0.674,0.642,0.875
100000,0.05,1,0.97,5042,0,0,0,0,0.875
100000,0.05,11,0.97,4907,2056,2026,0.419,0.413,0.85
100000,0.05,10,0.97,4907,2310,2273,0.471,0.463,0.85
100000,0.05,9,0.97,4907,2593,2541,0.528,0.518,0.85
100000,0.05,8,0.97,4907,2863,2800,0.583,0.57,0.85
100000,0.05,7,0.97,4907,3209,3138,0.654,0.639,0.85
100000,0.05,6,0.97,4907,3506,3401,0.714,0.693,0.85
100000,0.05,5,0.97,4907,3727,3595,0.76,0.732,0.85
100000,0.05,4,0.97,4907,3799,3655,0.774,0.745,0.85
